# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 94274
  1 0.708014 944 203.47
  2 10.708 1888 218.593
  3 20.708 1886.35 220.446
  4 30.708 1884.4 221.738
  5 40.708 1888.69 223.037
  6 50.708 1890.93 222.834
  7 60.708 1891.15 221.775
  8 70.708 1889.15 221.467
  9 80.708 1889.56 220.616
  10 90.708 1889.33 223.126
  11 100.708 1889.89 224.637
  12 110.708 1889.34 227.446
  13 120.708 1888.36 249.049
  14 130.708 1887.87 276.74
  15 140.708 1891.49 307.798
  16 150.708 1901.4 337.381
  17 160.708 1916.28 349.731
  18 170.708 1909.66 340.962
  19 180.708 1901.17 353.997
  20 190.708 1900.58 359.791
  21 200.708 1896.08 346.07
  22 210.708 1888.71 308.547
  23 220.708 1894.69 294.09
  24 230.708 1899.7 253.815
  25 240.708 1902.5 225.468
  26 250.708 1883.54 217.761
  27 260.708 1887.91 214.898
  28 270.708 1908.59 229.708
  29 280.708 1895.98 253.592
  30 290.708 1884.67 262.357
  31 300.708 1875.57 292.741
  32 310.708 1883.04 295.734
  33 320.708 1892.45 266.801
  34 330.708 1889.42 231.999
  35 340.708 1888.54 188.915
  36 350.708 1888.72 163.034
  37 360.708 1886.65 148.176
  38 370.708 1886.08 138.042
  39 380.708 1886.01 128.844
  40 390.708 1884.57 122.574
  41 400.708 1885.13 111.856
  42 410.708 1885.78 102.96
  43 420.708 1885.34 97.5114
  44 430.708 1884.36 94.0494
  45 440.708 1885.19 90.7423
  46 450.708 1885.06 88.3041
  47 460.708 1884.98 86.5803
  48 470.708 1882.76 85.1924
  49 480.708 1878.85 84.8043
  50 490.708 1887.54 86.0219
  51 500.708 708 92.067
30000 51 94274
  1 0.708014 877.726 3388.27
  2 10.708 1527.4 2542.32
  3 20.708 1727.38 2536.61
  4 30.708 1909.92 2632.96
  5 40.708 2010.38 2552.86
  6 50.708 1962.62 2325.57
  7 60.708 1909.87 2174.54
  8 70.708 1906.45 2192.29
  9 80.708 1905.97 2170.53
  10 90.708 1870.25 2047.38
  11 100.708 1928.16 2069.97
  12 110.708 1922.87 1747.53
  13 120.708 1848.96 1507.71
  14 130.708 1845.94 1403
  15 140.708 1865.79 1466.09
  16 150.708 1869.59 1381.5
  17 160.708 1959.95 1387.15
  18 170.708 1930.19 1153.26
  19 180.708 1934.92 1090.69
  20 190.708 1961.06 1087.72
  21 200.708 2024.83 1110.45
  22 210.708 1948.1 940.293
  23 220.708 1956.52 879.317
  24 230.708 1975.63 833.962
  25 240.708 1931.33 814.245
  26 250.708 1937.52 863.019
  27 260.708 1962.89 939.772
