# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 94378
  1 0.716742 944 171.035
  2 10.7167 1888 180.487
  3 20.7167 1888 182.315
  4 30.7167 1888 181.442
  5 40.7167 1888 181.293
  6 50.7167 1888 181.231
  7 60.7167 1888 181.574
  8 70.7167 1888 178.058
  9 80.7167 1888 177.897
  10 90.7167 1888 173.502
  11 100.717 1888 169.777
  12 110.717 1888 165.29
  13 120.717 1888 161.852
  14 130.717 1888 160.091
  15 140.717 1888 158.52
  16 150.717 1888 156.758
  17 160.717 1888.07 154.653
  18 170.717 1890.57 152.29
  19 180.717 1912.81 151.012
  20 190.717 1958.21 150.041
  21 200.717 1969.1 151.018
  22 210.717 1926.46 150.001
  23 220.717 1896.96 149.326
  24 230.717 1890.98 147.897
  25 240.717 1889.6 146.726
  26 250.717 1873.24 144.755
  27 260.717 1886 142.748
  28 270.717 1888 141.715
  29 280.717 1888 141.032
  30 290.717 1888 140.565
  31 300.717 1888 139.041
  32 310.717 1888 138.063
  33 320.717 1888 137.696
  34 330.717 1888 137.126
  35 340.717 1888 136.047
  36 350.717 1888 135.62
  37 360.717 1888 133.915
  38 370.717 1888 131.561
  39 380.717 1888 129.411
  40 390.717 1888 127.419
  41 400.717 1888 123.464
  42 410.717 1888 119.485
  43 420.717 1888 117.246
  44 430.717 1888 115.644
  45 440.717 1888 114.37
  46 450.717 1888 113.244
  47 460.717 1888 112.636
  48 470.717 1888 112.274
  49 480.717 1888 112.288
  50 490.717 1888 112.935
  51 500.717 708 115.94
30000 51 94378
  1 0.716742 944 166.035
  2 10.7167 1888 177.389
  3 20.7167 1888 179.466
  4 30.7167 1888 180.005
  5 40.7167 1888 182.991
  6 50.7167 1888 182.065
  7 60.7167 1888 178.798
  8 70.7167 1888 178.305
  9 80.7167 1888 176.018
  10 90.7167 1888 173.847
  11 100.717 1888 167.206
  12 110.717 1888 160.808
  13 120.717 1888 156.045
  14 130.717 1888 152.491
  15 140.717 1888 150.09
  16 150.717 1888.01 148.96
  17 160.717 1888.2 148.935
  18 170.717 1891.43 146.044
  19 180.717 1913.39 145.794
  20 190.717 1955.68 145.494
  21 200.717 1962.28 142.868
  22 210.717 1923.94 142.12
  23 220.717 1899.73 140.422
  24 230.717 1893.9 139.74
  25 240.717 1891.12 137.317
  26 250.717 1876.33 136.289
  27 260.717 1886 135.061
  28 270.717 1888 134.142
  29 280.717 1888 133.615
  30 290.717 1888 132.166
  31 300.717 1888 131.298
  32 310.717 1888 130.071
  33 320.717 1888 129.215
  34 330.717 1888 129.271
  35 340.717 1888 127.441
  36 350.717 1888 126.487
  37 360.717 1888 123.708
  38 370.717 1888 122.409
  39 380.717 1888 120.55
  40 390.717 1888 116.399
  41 400.717 1888 111.835
  42 410.717 1888 108.304
  43 420.717 1888 105.707
  44 430.717 1888 102.896
  45 440.717 1888 101.636
  46 450.717 1888 100.936
  47 460.717 1888 99.4783
  48 470.717 1888 99.7988
  49 480.717 1888 99.5801
  50 490.717 1888 100.408
  51 500.717 708 103.188
40000 51 94378
  1 0.716742 915.202 1095.09
  2 10.7167 1840.97 1227.13
  3 20.7167 1867.45 1465.01
  4 30.7167 1891.91 1510.78
  5 40.7167 1891.81 1467.97
  6 50.7167 1903.7 1544.04
  7 60.7167 1901.21 1563.24
  8 70.7167 1905.87 1616.17
  9 80.7167 1905.88 1689.78
  10 90.7167 1892.14 1661.1
  11 100.717 1886.79 1608.49
  12 110.717 1884.44 1540.73
  13 120.717 1898.02 1651.79
  14 130.717 1894.79 1569.27
  15 140.717 1856.75 1413.58
  16 150.717 1881.9 1618.83
  17 160.717 1895.83 1632.18
  18 170.717 1891.62 1493.5
  19 180.717 1911.33 1411.83
  20 190.717 1942.91 1464.43
  21 200.717 1931.97 1499.1
  22 210.717 1928.76 1519.53
  23 220.717 1877.85 1295.51
  24 230.717 1896.79 1313.45
  25 240.717 1906.18 1288.76
  26 250.717 1911.67 1230.02
  27 260.717 1920.63 1244.97
  28 270.717 1892.95 1252.88
  29 280.717 1895.56 1332.6
  30 290.717 1915.86 1489.42
  31 300.717 1917.85 1545.94
  32 310.717 1884.38 1421.91
  33 320.717 1882.42 1352.38
  34 330.717 1889.73 1407.39
  35 340.717 1903.94 1447.67
  36 350.717 1885.59 1396.85
  37 360.717 1876.13 1320.75
  38 370.717 1897.79 1482.29
  39 380.717 1897.48 1462.51
  40 390.717 1891.19 1445.73
  41 400.717 1895.7 1411.51
  42 410.717 1898.92 1501.15
  43 420.717 1891.37 1490.14
  44 430.717 1882.31 1433.33
  45 440.717 1900.4 1556.04
  46 450.717 1903.92 1605.99
  47 460.717 1890.32 1534.68
  48 470.717 1874.13 1494.65
  49 480.717 1854.55 1359.44
  50 490.717 1839.72 1062.54
  51 500.717 681.405 983.116
50000 51 94378
  1 0.716742 555.15 8521.57
  2 10.7167 538.01 8230.14
  3 20.7167 703.327 7535.99
  4 30.7167 1054.09 6834.04
  5 40.7167 1293.01 6040.85
  6 50.7167 1533.05 5720.36
  7 60.7167 1761.51 5630.56
  8 70.7167 1964.05 5689.53
  9 80.7167 2096.68 5792.96
  10 90.7167 2157.89 5830.16
  11 100.717 2229.03 5839.04
  12 110.717 2293.02 5738.06
  13 120.717 2307.41 5535.45
  14 130.717 2288.57 5122.49
  15 140.717 2235.16 4603.88
  16 150.717 2188.61 4328.96
  17 160.717 2203.39 4219.14
  18 170.717 2098.44 4059.95
  19 180.717 2053.04 3759.57
  20 190.717 2097.3 3678.57
  21 200.717 1995.39 3461.79
  22 210.717 2022.99 3367.43
  23 220.717 2057.92 3391.28
  24 230.717 2144.6 3241.55
  25 240.717 2138.18 3215.51
  26 250.717 2163.36 3244.08
  27 260.717 2258.29 3230.61
  28 270.717 2151.68 3212.57
  29 280.717 2083.2 3245.22
  30 290.717 2168.08 3390.85
  31 300.717 2098.84 3510.99
  32 310.717 2065.5 3416.26
  33 320.717 2176.08 3558.1
  34 330.717 2279.2 3845.28
  35 340.717 2264.14 4113.69
  36 350.717 2223.36 4366.99
  37 360.717 2204.9 4589.76
  38 370.717 2216.96 4653.2
  39 380.717 2258.3 4834.65
  40 390.717 2239.38 5034.85
  41 400.717 2104.32 5058.55
  42 410.717 2072.33 5258.16
  43 420.717 2046.32 5619.47
  44 430.717 1918.76 5685.12
  45 440.717 1771.21 5721.42
  46 450.717 1570.59 5958.25
