# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 93882
  1 0.710755 708 222.007
  2 10.7108 1888 244.194
  3 20.7108 1888 248.893
  4 30.7108 1888 247.644
  5 40.7108 1888 245.677
  6 50.7108 1888 240.982
  7 60.7108 1888 240.594
  8 70.7108 1888 238.185
  9 80.7108 1888 232.675
  10 90.7108 1888 228.389
  11 100.711 1888 215.531
  12 110.711 1888 199.591
  13 120.711 1888 190.843
  14 130.711 1888 184.073
  15 140.711 1888 180.042
  16 150.711 1888 174.449
  17 160.711 1888.29 170.811
  18 170.711 1892.72 168.466
  19 180.711 1915.98 164.159
  20 190.711 1957.08 162.458
  21 200.711 1955.54 157.988
  22 210.711 1916.53 153.521
  23 220.711 1899.31 151.177
  24 230.711 1894.18 149.265
  25 240.711 1888.56 146.489
  26 250.711 1875.81 142.936
  27 260.711 1877.23 140.058
  28 270.711 1885.51 137.114
  29 280.711 1887.27 134.247
  30 290.711 1888 131.464
  31 300.711 1888 128.14
  32 310.711 1888 125.297
  33 320.711 1888 122.057
  34 330.711 1888 119.031
  35 340.711 1888 116.919
  36 350.711 1888 113.202
  37 360.711 1888 110.325
  38 370.711 1888 107.63
  39 380.711 1888 103.451
  40 390.711 1888 98.2518
  41 400.711 1888 85.5328
  42 410.711 1888 73.6768
  43 420.711 1888 66.3185
  44 430.711 1888 61.1638
  45 440.711 1888 57.3198
  46 450.711 1888 54.6324
  47 460.711 1888 52.4549
  48 470.711 1888 51.1106
  49 480.711 1888 50.4489
  50 490.711 1888 50.9748
  51 500.711 472 59.2319
30000 51 93882
  1 0.710755 705.554 467.046
  2 10.7108 1890.21 541.817
  3 20.7108 1888.71 579.264
  4 30.7108 1885.29 624.166
  5 40.7108 1886.24 679.467
  6 50.7108 1878.84 691.984
  7 60.7108 1884.56 788.937
  8 70.7108 1891.5 878.217
  9 80.7108 1894.47 900.329
  10 90.7108 1882.11 841.876
  11 100.711 1879.48 834.902
  12 110.711 1881.4 832.917
  13 120.711 1887.5 862.498
  14 130.711 1888.68 862.355
  15 140.711 1888.22 867.021
  16 150.711 1896.2 862.569
  17 160.711 1886.09 802.348
  18 170.711 1908.19 880.025
  19 180.711 1920.15 856.962
  20 190.711 1929.31 801.566
  21 200.711 1942.41 916.515
  22 210.711 1907.07 830.641
  23 220.711 1904.08 775.075
  24 230.711 1907.54 857.773
  25 240.711 1878.67 727.957
  26 250.711 1878.72 682.971
  27 260.711 1919.72 794.05
  28 270.711 1932.89 868.612
  29 280.711 1887.44 764.113
  30 290.711 1874.17 699.946
  31 300.711 1884.92 738.262
  32 310.711 1886.09 759.506
  33 320.711 1890.1 752.887
  34 330.711 1884.52 774.234
