# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 94338
  1 0.723652 944 142.431
  2 10.7237 1888 145.401
  3 20.7237 1888 146.284
  4 30.7237 1888 146.788
  5 40.7237 1888 146.096
  6 50.7237 1888 146.017
  7 60.7237 1888 146.204
  8 70.7237 1888 146.055
  9 80.7237 1888 145.981
  10 90.7237 1888 146.492
  11 100.724 1888 146.007
  12 110.724 1888 146.212
  13 120.724 1888 146.74
  14 130.724 1888 146.552
  15 140.724 1888 146.843
  16 150.724 1888.25 145.73
  17 160.724 1892.28 146.508
  18 170.724 1911.81 147.215
  19 180.724 1938.25 147.072
  20 190.724 1948.58 146.909
  21 200.724 1925.77 146.585
  22 210.724 1904.53 147.218
  23 220.724 1894.4 148.118
  24 230.724 1889.87 150.121
  25 240.724 1895.35 147.833
  26 250.724 1874.88 147.299
  27 260.724 1877.17 146.438
  28 270.724 1884.55 146.813
  29 280.724 1886.79 145.962
  30 290.724 1885.79 146.549
  31 300.724 1884.62 147.392
  32 310.724 1887.12 146.344
  33 320.724 1888 146.038
  34 330.724 1888 146.143
  35 340.724 1888 145.893
  36 350.724 1888 146.239
  37 360.724 1888 146.341
  38 370.724 1888 146.984
  39 380.724 1888 145.827
  40 390.724 1888 145.419
  41 400.724 1888 144.759
  42 410.724 1888 145.877
  43 420.724 1888 147.667
  44 430.724 1888 146.771
  45 440.724 1888 146.748
  46 450.724 1888 147.217
  47 460.724 1888 146.256
  48 470.724 1888 145.753
  49 480.724 1888 145.562
  50 490.724 1888 145.85
  51 500.724 708 142.279
30000 51 94338
  1 0.723652 950.183 2017.93
  2 10.7237 1843.83 1719.96
  3 20.7237 1865.93 1583.71
  4 30.7237 1876.72 1638.28
  5 40.7237 1883.79 1602
  6 50.7237 1868.56 1446.55
  7 60.7237 1893.5 1521.92
  8 70.7237 1884.38 1550.03
  9 80.7237 1877.4 1563.36
  10 90.7237 1895.12 1473.04
  11 100.724 1864.58 1377.01
  12 110.724 1881.49 1432.29
  13 120.724 1855.48 1294.16
  14 130.724 1847.4 1264.16
  15 140.724 1885.05 1390.91
  16 150.724 1921.82 1481.19
  17 160.724 1911.83 1378.27
  18 170.724 1898.99 1280.61
  19 180.724 1893.45 1219.72
  20 190.724 1902.06 1258.11
  21 200.724 1917.28 1175.46
  22 210.724 1917.19 1175.4
  23 220.724 1967.06 1221.61
  24 230.724 1934.07 1120.7
  25 240.724 1930.77 1051.47
  26 250.724 1943.19 1073.62
  27 260.724 1938.25 1065.87
  28 270.724 1934.35 1066.17
  29 280.724 1914.98 1085.65
  30 290.724 1924.74 1204.9
  31 300.724 1940.8 1298.8
  32 310.724 1894.69 1273.4
  33 320.724 1874.57 1252.25
  34 330.724 1892.5 1356.94
  35 340.724 1897.46 1409.75
  36 350.724 1886.7 1470.8
  37 360.724 1903.15 1487.02
  38 370.724 1891.13 1385.16
  39 380.724 1877.61 1388.32
  40 390.724 1868.35 1374.44
  41 400.724 1871.03 1386.33
  42 410.724 1881.25 1444.27
  43 420.724 1892.05 1529.38
  44 430.724 1843.63 1309.13
  45 440.724 1847.38 1353.5
  46 450.724 1906.18 1617.5
  47 460.724 1923.99 1734.99
  48 470.724 1878.74 1639.69
  49 480.724 1863.34 1628.81
  50 490.724 1796.56 1710.6
  51 500.724 683.451 1926.97
40000 51 94338
  1 0.723652 912.938 6484.06
  2 10.7237 1176.35 5247.74
  3 20.7237 1467.22 4090.96
  4 30.7237 1624.19 3825.43
  5 40.7237 1758.26 3907.3
  6 50.7237 1851.29 3710.46
  7 60.7237 1808.47 3242.99
  8 70.7237 1885.03 3262
  9 80.7237 2003.77 3302.62
  10 90.7237 1947.23 3061.71
  11 100.724 1878.04 2709.6
  12 110.724 1896.71 2620.96
  13 120.724 1941.97 2420.02
  14 130.724 1959.06 2263.28
  15 140.724 1915.91 2111.39
