# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 94338
  1 0.723652 944 222.24
  2 10.7237 1888 242.515
  3 20.7237 1888 245.065
  4 30.7237 1888 246.758
  5 40.7237 1888 246.127
  6 50.7237 1888 243.338
  7 60.7237 1888 237.086
  8 70.7237 1888 235.04
  9 80.7237 1888 231.871
  10 90.7237 1888 226.953
  11 100.724 1888 215.393
  12 110.724 1888 201.978
  13 120.724 1888 192.912
  14 130.724 1888 184.067
  15 140.724 1888 179.55
  16 150.724 1888.15 173.825
  17 160.724 1890.71 171.193
  18 170.724 1905.8 167.081
  19 180.724 1939.35 162.337
  20 190.724 1953.2 160.547
  21 200.724 1927.78 156.971
  22 210.724 1903.83 152.88
  23 220.724 1895.08 151.54
  24 230.724 1889.93 146.926
  25 240.724 1894.31 144.894
  26 250.724 1875.73 142.867
  27 260.724 1877.35 140.668
  28 270.724 1884.89 136.782
  29 280.724 1886 132.823
  30 290.724 1885.51 129.385
  31 300.724 1885.36 127.238
  32 310.724 1887.01 124.182
  33 320.724 1888 121.626
  34 330.724 1888 118.821
  35 340.724 1888 117.178
  36 350.724 1888 113.687
  37 360.724 1888 110.753
  38 370.724 1888 107.172
  39 380.724 1888 102.449
  40 390.724 1888 96.9234
  41 400.724 1888 84.9247
  42 410.724 1888 73.9168
  43 420.724 1888 66.5959
  44 430.724 1888 61.4243
  45 440.724 1888 57.4882
  46 450.724 1888 54.7377
  47 460.724 1888 52.7062
  48 470.724 1888 51.3427
  49 480.724 1888 50.6643
  50 490.724 1888 50.8537
  51 500.724 708 56.8494
30000 51 94338
  1 0.723652 956.12 2490.02
  2 10.7237 1803.15 2051.17
  3 20.7237 1813.33 1743.72
  4 30.7237 1859.7 1695.6
  5 40.7237 1868.33 1656.64
  6 50.7237 1876.47 1617.06
  7 60.7237 1879.82 1539.79
  8 70.7237 1880.91 1444.16
  9 80.7237 1876.81 1359.07
  10 90.7237 1906.63 1481.32
  11 100.724 1924.48 1542.51
  12 110.724 1898.56 1373.57
  13 120.724 1915.5 1388.41
  14 130.724 1910.95 1297.8
  15 140.724 1893.69 1290.15
  16 150.724 1922.75 1384.83
  17 160.724 1916.81 1325.08
  18 170.724 1906.47 1201.66
  19 180.724 1932.65 1179.9
  20 190.724 1868.63 1025.72
  21 200.724 1889.53 1099.26
