# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 93882
  1 0.710755 1847.68 3.21726e+07
  2 10.7108 1849.81 3.2174e+07
  3 20.7108 1850.24 3.21778e+07
  4 30.7108 1849.98 3.22068e+07
  5 40.7108 1845.96 3.21933e+07
  6 50.7108 1847.92 3.21906e+07
  7 60.7108 1847.29 3.21506e+07
  8 70.7108 1847.45 3.21792e+07
  9 80.7108 1850.69 3.21316e+07
  10 90.7108 1847.32 3.21483e+07
  11 100.711 1851.47 3.21913e+07
  12 110.711 1848.67 3.21464e+07
  13 120.711 1847.76 3.21993e+07
  14 130.711 1844.2 3.21562e+07
  15 140.711 1845.35 3.2182e+07
  16 150.711 1845.52 3.21602e+07
  17 160.711 1847.88 3.21789e+07
  18 170.711 1846.56 3.21429e+07
  19 180.711 1847.17 3.21602e+07
  20 190.711 1845.07 3.21496e+07
  21 200.711 1845.78 3.21649e+07
  22 210.711 1843.8 3.21899e+07
  23 220.711 1843.97 3.2186e+07
  24 230.711 1847.14 3.21912e+07
  25 240.711 1843.86 3.21838e+07
  26 250.711 1847.29 3.21545e+07
  27 260.711 1844.68 3.21849e+07
  28 270.711 1845.84 3.21965e+07
  29 280.711 1843.52 3.21951e+07
  30 290.711 1841.67 3.21603e+07
  31 300.711 1843.56 3.21838e+07
  32 310.711 1846.7 3.21728e+07
  33 320.711 1844.66 3.21753e+07
  34 330.711 1845.54 3.21562e+07
  35 340.711 1846.26 3.21559e+07
  36 350.711 1845.07 3.21627e+07
  37 360.711 1847.42 3.21451e+07
  38 370.711 1847.02 3.21501e+07
  39 380.711 1847.69 3.22052e+07
  40 390.711 1844.67 3.22187e+07
  41 400.711 1843.33 3.22047e+07
  42 410.711 1844.21 3.21852e+07
  43 420.711 1844.53 3.22051e+07
  44 430.711 1845.84 3.22038e+07
  45 440.711 1848.52 3.21498e+07
  46 450.711 1846.25 3.21225e+07
  47 460.711 1846.64 3.21302e+07
  48 470.711 1848.88 3.21577e+07
  49 480.711 1848.9 3.21552e+07
  50 490.711 1847.68 3.21426e+07
  51 500.711 1557.1 3.22472e+07
