# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 94314
  1 0.71415 944 169.963
  2 10.7142 1888 179.269
  3 20.7142 1888 181.11
  4 30.7142 1888 181.849
  5 40.7142 1888 180.955
  6 50.7142 1888 180.967
  7 60.7142 1888 179.543
  8 70.7142 1888 181.684
  9 80.7142 1888 178.168
  10 90.7142 1888 175.815
  11 100.714 1888 171.48
  12 110.714 1888 166.41
  13 120.714 1888.13 163.673
  14 130.714 1888.5 160.912
  15 140.714 1890.72 159.526
  16 150.714 1895.9 159.31
  17 160.714 1905.15 159.589
  18 170.714 1919.94 159.853
  19 180.714 1930.6 162.852
  20 190.714 1926.21 170.074
  21 200.714 1907.14 184.302
  22 210.714 1897.45 203.836
  23 220.714 1893.23 197.029
  24 230.714 1887.28 190.936
  25 240.714 1902.81 171.994
  26 250.714 1877.49 165.811
  27 260.714 1882.03 171.377
  28 270.714 1885.63 194.025
  29 280.714 1889.09 203.317
  30 290.714 1887.9 206.152
  31 300.714 1885.92 182.333
  32 310.714 1884.4 167.245
  33 320.714 1885.49 152.153
  34 330.714 1886 143.358
  35 340.714 1886.22 138.765
  36 350.714 1885.61 137.921
  37 360.714 1885.72 135.07
  38 370.714 1886.73 132.947
  39 380.714 1887.28 130.151
  40 390.714 1887.27 126.504
  41 400.714 1887.43 122.154
  42 410.714 1887.35 119.353
  43 420.714 1887.55 117.074
  44 430.714 1887.83 115.352
  45 440.714 1888 113.311
  46 450.714 1888 112.304
  47 460.714 1888 111.455
  48 470.714 1888 111.25
  49 480.714 1888 111.317
  50 490.714 1888 111.617
  51 500.714 708 114.381
30000 51 94314
  1 0.71415 901.762 3125
  2 10.7142 1689.37 2401.13
  3 20.7142 1763.71 2081.77
  4 30.7142 1878.67 2209.32
  5 40.7142 1935.3 2183.54
  6 50.7142 1907.07 1922.8
  7 60.7142 1916.95 1980.62
  8 70.7142 1909.41 1988.09
  9 80.7142 1873.19 1832.84
  10 90.7142 1876.94 1752.95
  11 100.714 1853.22 1627.49
  12 110.714 1855.68 1571.53
  13 120.714 1872.92 1632.37
  14 130.714 1880.1 1663.05
  15 140.714 1888.57 1593.6
  16 150.714 1938.23 1694.35
  17 160.714 1902.95 1461.43
  18 170.714 1890.41 1338.49
  19 180.714 1899.41 1320.03
  20 190.714 1967.74 1376.71
  21 200.714 1947.86 1336.71
  22 210.714 1910.81 1136.35
  23 220.714 1914.3 1030.96
  24 230.714 1920.47 1126.71
  25 240.714 1915.39 988.15
  26 250.714 1927.23 994.749
  27 260.714 1956.07 1003.42
  28 270.714 1900.24 910.918
  29 280.714 1987.41 1022.53
  30 290.714 1909.72 1022.07
  31 300.714 1964.45 1069.36
  32 310.714 1958.37 1145.78
  33 320.714 1903.51 1200.22
  34 330.714 1933.36 1243.94
  35 340.714 1931.73 1311.25
  36 350.714 1928.9 1342.2
  37 360.714 1905.79 1437.08
  38 370.714 1913.26 1495.43
  39 380.714 1897.24 1499.88
  40 390.714 1872.05 1462.16
  41 400.714 1858.47 1490.6
  42 410.714 1853.22 1620.79
  43 420.714 1879.68 1794.72
  44 430.714 1908.94 1927.93
  45 440.714 1924.42 2050.56
  46 450.714 1922.8 2186.8
  47 460.714 1900.8 2281.22
  48 470.714 1923.36 2452.11
  49 480.714 1767.93 2530.44
  50 490.714 1641.48 2496.09
  51 500.714 633.14 3036.31
40000 51 94314
  1 0.71415 835.887 5861.13
  2 10.7142 1003.12 4593.51
  3 20.7142 1218.33 3641.71
  4 30.7142 1617.88 3116.9
  5 40.7142 1770.62 2960.24
  6 50.7142 1876.31 3065.47
  7 60.7142 1904.91 3055.38
  8 70.7142 1921.57 3014.85
  9 80.7142 1948.28 2898.46
  10 90.7142 1936.75 2777.63
  11 100.714 1914.07 2502.65
  12 110.714 1865.22 2143.72
  13 120.714 1867.65 2117.2
  14 130.714 1856.62 2040.36
  15 140.714 1948.34 2090.19
  16 150.714 2053.79 2111.33
  17 160.714 2002.83 1921.58
  18 170.714 2002.28 1822.84
  19 180.714 1974.08 1720.98
  20 190.714 2007.96 1686.16
  21 200.714 1995.86 1607.95
  22 210.714 1978.84 1582.97
  23 220.714 2066.67 1616.97
  24 230.714 2041.71 1634.4
  25 240.714 2006.83 1493.38
  26 250.714 2081.54 1456.64
  27 260.714 2000.52 1423.91
  28 270.714 1955.27 1444.12
  29 280.714 2020.14 1450.57
  30 290.714 2081.46 1514.29
  31 300.714 2067.74 1505.79
  32 310.714 2050.34 1527.61
  33 320.714 1984.24 1601.47
  34 330.714 2032.16 1635.14
  35 340.714 2035.85 1692.09
  36 350.714 2008.74 1698.37
  37 360.714 1961.65 1753.71
  38 370.714 2022.86 1866.48
  39 380.714 2039.23 2011.49
  40 390.714 2049.05 2248.38
  41 400.714 2007.88 2317.37
  42 410.714 1976.17 2503.55
  43 420.714 2005.96 2562
  44 430.714 1988.02 2774.3
  45 440.714 1992.03 3142.74
  46 450.714 1894.8 3375.61
  47 460.714 1825.86 3178.71
  48 470.714 1515.77 3140.25
  49 480.714 1271.76 3386.17
  50 490.714 1205.56 3983.81
  51 500.714 623.018 5425.17
50000 51 94314
  1 0.71415 730.946 5370.27
  2 10.7142 1005.2 4432.57
  3 20.7142 1089.61 3204.32
  4 30.7142 1405.21 2671.85
  5 40.7142 1590.23 2822.87
  6 50.7142 1723.98 2813.64
  7 60.7142 1719.22 2737.7
  8 70.7142 1790.18 2624.59
  9 80.7142 1847.65 2610.43
  10 90.7142 1944.93 2626.94
  11 100.714 1897.66 2489.14
  12 110.714 1896.66 2438
  13 120.714 1947.77 2410.39
  14 130.714 1904.55 2262.27
  15 140.714 1985.62 2194.82
  16 150.714 1937.3 2111.85
  17 160.714 1910.85 2097.48
  18 170.714 2026.97 2114.69
  19 180.714 2078.72 2147.1
  20 190.714 2071.16 2093.01
  21 200.714 2073.77 1933.78
  22 210.714 2060.7 1866.67
  23 220.714 2092.82 1901.47
  24 230.714 2071.94 1914.39
  25 240.714 2142.31 1910.33
  26 250.714 2336.96 1850.75
  27 260.714 1998.94 1805
  28 270.714 2027.55 1836.59
  29 280.714 2072.83 1902.05
  30 290.714 2065.11 1854.36
  31 300.714 2179.76 1863.14
  32 310.714 2097.48 1825.14
  33 320.714 2058.05 1797.51
  34 330.714 2096 1845.16
  35 340.714 2101.07 1911.48
  36 350.714 2106.27 2008.21
  37 360.714 2084.2 2074.42
  38 370.714 2130.94 2208.2
  39 380.714 2120.3 2294.38
  40 390.714 2124.96 2304.46
  41 400.714 2098.84 2328.35
  42 410.714 1952.2 2401.81
  43 420.714 2106.94 2571.72
  44 430.714 1964.6 2498.66
  45 440.714 1923.04 2632.17
  46 450.714 1715.41 2774.38
  47 460.714 1596.57 2551.6
  48 470.714 1296.24 2660.52
  49 480.714 1204.03 3122.12
  50 490.714 1226.52 3757.3
  51 500.714 683.23 5049.4
