# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 94274
  1 0.708014 944 152.778
  2 10.708 1887.87 155.037
  3 20.708 1885.63 154.636
  4 30.708 1885.33 155.967
  5 40.708 1885.62 157.207
  6 50.708 1889.23 157.931
  7 60.708 1890.58 162.761
  8 70.708 1890.42 177.247
  9 80.708 1891.86 184.733
  10 90.708 1890.09 206.905
  11 100.708 1889.77 246.494
  12 110.708 1890.86 281.055
  13 120.708 1889.01 283.598
  14 130.708 1886.41 287.307
  15 140.708 1894.79 321.492
  16 150.708 1903.94 355.244
  17 160.708 1913.98 356.703
  18 170.708 1903.87 341.483
  19 180.708 1895.32 337.57
  20 190.708 1892.86 351.336
  21 200.708 1888.23 324.624
  22 210.708 1903.14 347.158
  23 220.708 1897.02 286.016
  24 230.708 1904.56 243.336
  25 240.708 1911.71 221.399
  26 250.708 1878.02 211.113
  27 260.708 1890.86 204.657
  28 270.708 1898.14 210.146
  29 280.708 1886.83 227.092
  30 290.708 1888.21 235.859
  31 300.708 1889.59 229.447
  32 310.708 1888.79 205.818
  33 320.708 1889.56 180.83
  34 330.708 1889.23 168.326
  35 340.708 1889.15 162.215
  36 350.708 1889.93 160.202
  37 360.708 1888.87 157.822
  38 370.708 1886.55 155.523
  39 380.708 1884.83 153.43
  40 390.708 1883.37 151.605
  41 400.708 1882.77 151.98
  42 410.708 1885.14 151.783
  43 420.708 1885.29 151.955
  44 430.708 1884.47 152.14
  45 440.708 1884.99 152.043
  46 450.708 1884.87 151.954
  47 460.708 1884.13 152.105
  48 470.708 1882 150.013
  49 480.708 1877.97 152.172
  50 490.708 1886.4 150.337
  51 500.708 708 146.808
30000 51 94274
  1 0.708014 921.559 3883.93
  2 10.708 1596.09 2882.59
  3 20.708 1709.38 2462.05
  4 30.708 1802.22 2337.83
  5 40.708 1876.49 2217.47
  6 50.708 1957.44 2139.06
  7 60.708 1916.03 1929.72
  8 70.708 1880.9 1708.48
  9 80.708 1923.88 1780.5
  10 90.708 1926.7 1733.2
  11 100.708 1942.87 1668.06
  12 110.708 1959.27 1583.02
  13 120.708 1932.55 1366.02
  14 130.708 1909.46 1158.25
  15 140.708 1932.64 1162.39
  16 150.708 1934.62 1126.89
  17 160.708 1892.76 957.93
  18 170.708 1900.62 1008.02
  19 180.708 1903.98 892.589
  20 190.708 1915.23 869.811
  21 200.708 1930.5 886.501
  22 210.708 1915.09 894.818
  23 220.708 1936.14 889.295
  24 230.708 1924.74 852.575
  25 240.708 1923.2 845.685
  26 250.708 1910.78 877.556
  27 260.708 1934.29 937.644
  28 270.708 1943.13 959.564
  29 280.708 1920.45 944.084
  30 290.708 1947.71 1054.87
  31 300.708 1952.63 1113.31
  32 310.708 1920.3 1287.82
  33 320.708 1917.55 1338.53
  34 330.708 1902.32 1326.15
  35 340.708 1907.98 1399.05
  36 350.708 1898.73 1412.78
  37 360.708 1897.68 1463.98
  38 370.708 1895.32 1598.33
  39 380.708 1902.68 1635.33
  40 390.708 1852.26 1590.88
  41 400.708 1866.4 1747.65
  42 410.708 1870.77 1702.17
  43 420.708 1901.14 1771.28
  44 430.708 1846.85 1702.64
  45 440.708 1899.37 2000.7
  46 450.708 1863.74 1951.51
  47 460.708 1927.97 2230.41
  48 470.708 1930.37 2359.35
  49 480.708 1768.78 2471.51
  50 490.708 1658.02 2770.6
  51 500.708 672.424 3458.07
40000 51 94274
  1 0.708014 960.908 4461.67
  2 10.708 1297.79 2864.22
  3 20.708 1453.71 2295.47
  4 30.708 1647.91 2050.94
  5 40.708 1761.15 2082.96
  6 50.708 1831.21 1872.52
  7 60.708 1943.39 1893.54
  8 70.708 1989.53 1976.21
  9 80.708 1969.8 1866.9
  10 90.708 1950.78 1663.04
  11 100.708 1922.27 1581.1
  12 110.708 2007.89 1682.52
  13 120.708 2008.2 1639.43
  14 130.708 1986.18 1532.79
  15 140.708 1966.01 1404.79
  16 150.708 1959.94 1386.62
  17 160.708 1928.38 1394.1
  18 170.708 1941.55 1390.36
  19 180.708 1905.63 1290.49
  20 190.708 1940.33 1267.24
  21 200.708 1952.76 1288.72
  22 210.708 1992.57 1371.81
  23 220.708 2089.59 1377.47
  24 230.708 2006.04 1366.21
  25 240.708 2028.24 1412.18
  26 250.708 2048.75 1439.81
  27 260.708 2077.17 1496.28
  28 270.708 2035.93 1397.02
  29 280.708 2014.09 1378.41
  30 290.708 2005.86 1412.77
  31 300.708 2003.29 1397.19
  32 310.708 1977.36 1404.73
  33 320.708 1969.3 1448.2
  34 330.708 1893.3 1450.51
  35 340.708 1942.54 1575.03
  36 350.708 2005.79 1809.85
  37 360.708 1983.97 1841.98
  38 370.708 2019.46 2029
  39 380.708 1932.54 2000.23
  40 390.708 1894.16 1984.86
  41 400.708 1906.27 2226.01
  42 410.708 1922.04 2253.26
  43 420.708 1903.54 2290.08
  44 430.708 1880.01 2325.49
  45 440.708 1890.94 2348.98
  46 450.708 1841.04 2543.78
  47 460.708 1850.64 2666.57
  48 470.708 1732.21 3005.7
  49 480.708 1250.61 3639.39
  50 490.708 1204.1 4728.88
  51 500.708 647.311 5957.04
50000 51 94274
  1 0.708014 899.371 4112.6
  2 10.708 1289.3 2871.03
  3 20.708 1477.84 2502.73
  4 30.708 1664.51 2341.61
  5 40.708 1745.01 2077.53
  6 50.708 1805.83 2052.91
  7 60.708 1932.62 1910.32
  8 70.708 1962.13 1820.36
  9 80.708 1933.92 1824.34
  10 90.708 1959.42 1805.74
  11 100.708 1922.05 1756.17
  12 110.708 1950.42 1767.97
  13 120.708 2001.64 1789.4
  14 130.708 2013.15 1718.14
  15 140.708 2042.92 1832.15
  16 150.708 1979.89 1704.19
  17 160.708 1932.24 1614.48
  18 170.708 2001.57 1654.32
  19 180.708 1966.51 1660.62
  20 190.708 1957.07 1643.39
  21 200.708 2053.66 1727.03
  22 210.708 2021.23 1828.66
  23 220.708 2056.88 1781.35
  24 230.708 2045.97 1666.12
  25 240.708 2024 1614.49
  26 250.708 2025.48 1613.13
  27 260.708 1986.82 1577.61
  28 270.708 2012.01 1581.67
  29 280.708 2097.82 1519.33
  30 290.708 2066.38 1518.02
  31 300.708 2042.78 1641.71
  32 310.708 2123.71 1676.32
  33 320.708 2022.84 1782.4
  34 330.708 1924.61 1737.36
  35 340.708 2037.18 1840.32
  36 350.708 2107.12 1921.88
  37 360.708 2071.89 2014.76
  38 370.708 1980.3 2044.69
  39 380.708 1923.84 1919.92
  40 390.708 1936.98 2047.45
  41 400.708 1900.58 2027.71
  42 410.708 1885.3 2052.11
  43 420.708 1864.86 1931.82
  44 430.708 1982.88 2032.6
  45 440.708 1939.83 2248.86
  46 450.708 1853.07 2348.24
  47 460.708 1488.13 2402.27
  48 470.708 1417.41 2757.28
  49 480.708 1148.01 3232.13
  50 490.708 1199.13 4156.88
  51 500.708 595.9 5246.31
