# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 93882
  1 0.710755 708 144.687
  2 10.7108 1888 146.867
  3 20.7108 1888 148.16
  4 30.7108 1888 147.084
  5 40.7108 1888 147.593
  6 50.7108 1888 147.127
  7 60.7108 1888 146.803
  8 70.7108 1888 146.923
  9 80.7108 1888 148.18
  10 90.7108 1888 147.473
  11 100.711 1888 147.163
  12 110.711 1888 147.317
  13 120.711 1888 147.557
  14 130.711 1888 146.954
  15 140.711 1888 147.541
  16 150.711 1888 148.272
  17 160.711 1888.29 146.786
  18 170.711 1891.72 146.244
  19 180.711 1916.11 146.158
  20 190.711 1961 145.634
  21 200.711 1953.24 146.332
  22 210.711 1915.68 146.242
  23 220.711 1899.29 146.765
  24 230.711 1894.33 146.688
  25 240.711 1889.69 147.129
  26 250.711 1874.66 146.176
  27 260.711 1877.09 146.096
  28 270.711 1885.75 147.424
  29 280.711 1887.16 147.232
  30 290.711 1888 146.709
  31 300.711 1888 146.447
  32 310.711 1888 146.701
  33 320.711 1888 145.615
  34 330.711 1888 147.121
  35 340.711 1888 148.163
  36 350.711 1888 148.233
  37 360.711 1888 146.439
  38 370.711 1888 146.877
  39 380.711 1888 146.386
  40 390.711 1888 146.641
  41 400.711 1888 146.907
  42 410.711 1888 146.922
  43 420.711 1888 148.104
  44 430.711 1888 147.576
  45 440.711 1888 146.439
  46 450.711 1888 146.743
  47 460.711 1888 147.23
  48 470.711 1888 146.359
  49 480.711 1888 146.521
  50 490.711 1888 145.182
  51 500.711 472 141.213
30000 51 93882
  1 0.710755 703.787 305.471
  2 10.7108 1885.15 367.12
  3 20.7108 1892.67 428.923
  4 30.7108 1887.2 458.651
  5 40.7108 1883.32 495.764
  6 50.7108 1887.01 555.457
  7 60.7108 1891.78 619.616
  8 70.7108 1885.4 631.078
  9 80.7108 1887.33 690.94
  10 90.7108 1878.23 658.953
  11 100.711 1899.72 793.152
  12 110.711 1885.77 744.451
  13 120.711 1890.13 818.085
  14 130.711 1884.33 835.852
  15 140.711 1874.71 778.169
  16 150.711 1897.64 878.276
  17 160.711 1885.29 843.402
  18 170.711 1890.52 846.653
  19 180.711 1915.7 786.41
