# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 93882
  1 0.710755 708 169.604
  2 10.7108 1888 179.508
  3 20.7108 1888 184.054
  4 30.7108 1888 182.405
  5 40.7108 1888 182.034
  6 50.7108 1888 182.144
  7 60.7108 1888 180.544
  8 70.7108 1888 179.295
  9 80.7108 1888 179.885
  10 90.7108 1888 175.822
  11 100.711 1888 171.932
  12 110.711 1888 167.205
  13 120.711 1888 163.958
  14 130.711 1888 161.556
  15 140.711 1888 159.675
  16 150.711 1888.01 159.635
  17 160.711 1888.2 156.9
  18 170.711 1891.18 154.704
  19 180.711 1911.56 154.112
  20 190.711 1956.74 152.569
  21 200.711 1957.64 151.959
  22 210.711 1919.47 150.81
  23 220.711 1900.06 150.291
  24 230.711 1894.54 148.31
  25 240.711 1889.67 146.44
  26 250.711 1874.93 145.697
  27 260.711 1877.03 144.206
  28 270.711 1885.76 143.417
  29 280.711 1887.21 141.882
  30 290.711 1888 140.574
  31 300.711 1888 139.519
  32 310.711 1888 138.765
  33 320.711 1888 137.817
  34 330.711 1888 137.63
  35 340.711 1888 137.784
  36 350.711 1888 136.268
  37 360.711 1888 132.872
  38 370.711 1888 131.616
  39 380.711 1888 129.744
  40 390.711 1888 127.195
  41 400.711 1888 123.25
  42 410.711 1888 119.651
  43 420.711 1888 118.172
  44 430.711 1888 116.006
  45 440.711 1888 114.178
  46 450.711 1888 113.685
  47 460.711 1888 113.166
  48 470.711 1888 112.604
  49 480.711 1888 112.118
  50 490.711 1888 112.534
  51 500.711 472 116.422
30000 51 93882
  1 0.710755 702.568 581.834
  2 10.7108 1878.8 650.785
  3 20.7108 1889.06 705.464
  4 30.7108 1881.37 726.664
  5 40.7108 1878.36 775.155
  6 50.7108 1882.29 767.956
  7 60.7108 1898.69 837.439
  8 70.7108 1900.54 870.331
  9 80.7108 1892.42 861.875
  10 90.7108 1881.4 831.606
  11 100.711 1875.27 857.016
  12 110.711 1873.56 853.235
  13 120.711 1908.15 1005.84
  14 130.711 1895.96 918.811
  15 140.711 1867.19 782.872
  16 150.711 1871.95 834.419
  17 160.711 1899.32 973.542
  18 170.711 1899.46 921.047
  19 180.711 1911.36 923.063
  20 190.711 1941.15 979.353
  21 200.711 1930.08 899.335
  22 210.711 1890.47 776.274
  23 220.711 1916.5 859.232
  24 230.711 1926.5 843.195
  25 240.711 1908.56 805.975
  26 250.711 1940.67 846.039
  27 260.711 1919.19 877.326
  28 270.711 1887.58 871.387
  29 280.711 1865.8 782.792
  30 290.711 1889.79 845.331
  31 300.711 1874.67 815.677
  32 310.711 1897 871.011
  33 320.711 1895.88 831.954
  34 330.711 1894.87 870.79
  35 340.711 1898.81 910.122
  36 350.711 1894.96 923.083
  37 360.711 1889.57 933.427
  38 370.711 1873.68 850.303
  39 380.711 1865.44 803.348
  40 390.711 1875.04 795.543
  41 400.711 1875.74 764.106
  42 410.711 1885.05 738.458
  43 420.711 1888.75 703.234
  44 430.711 1889 670.991
  45 440.711 1887.2 582.999
  46 450.711 1883.55 498.432
  47 460.711 1881.5 438.891
  48 470.711 1889.94 419.066
  49 480.711 1895.43 381.557
  50 490.711 1876.43 326.299
  51 500.711 465.474 249.743
40000 51 93882
  1 0.710755 573.972 7297.88
  2 10.7108 875.349 5851.87
  3 20.7108 1008.01 5026.19
  4 30.7108 1383.16 4077.04
  5 40.7108 1770.76 3457.95
  6 50.7108 1999.19 3352.27
  7 60.7108 2017.7 3458.3
  8 70.7108 2066.18 3569.28
  9 80.7108 2127.68 3426.92
  10 90.7108 2088.81 3178.8
  11 100.711 2045.02 3007.41
  12 110.711 1970.07 2811
  13 120.711 1998.59 2737.54
  14 130.711 1970.26 2500.82
  15 140.711 1988.53 2440.52
  16 150.711 1958.54 2238.79
  17 160.711 1931.39 2121.24
  18 170.711 1948.24 2080.06
  19 180.711 2010.94 2087.25
  20 190.711 2049.01 2076.14
  21 200.711 2121.08 2184.38
  22 210.711 2128.43 2097.94
  23 220.711 2121.5 1928.51
  24 230.711 2083.38 1807.51
  25 240.711 1988.91 1726.82
  26 250.711 2026.84 1871.05
  27 260.711 2058.19 1910.3
  28 270.711 2051.04 1881.57
  29 280.711 2116.25 1940.62
  30 290.711 2015.23 2007.61
  31 300.711 1984.53 1987.72
  32 310.711 2030.96 2066.65
  33 320.711 2004.93 2086.01
  34 330.711 2003.75 2192.3
  35 340.711 1966.75 2235.29
  36 350.711 1970.72 2302.65
  37 360.711 1948.66 2396.71
  38 370.711 1912.54 2480.74
  39 380.711 1925.29 2654.58
  40 390.711 1938.79 2985.55
  41 400.711 1975.94 3222.1
  42 410.711 1865.5 3171.95
  43 420.711 1811.46 3298.2
  44 430.711 1827.47 3675.37
  45 440.711 1888.03 4154.6
  46 450.711 1888.92 4445.12
  47 460.711 1736.21 4504.22
  48 470.711 1639.08 4840.99
  49 480.711 1369.49 5877.71
  50 490.711 1196.65 6376.18
  51 500.711 504.1 7804.87
50000 51 93882
  1 0.710755 517.195 6259.45
  2 10.7108 696.731 4626.71
  3 20.7108 698.242 3645.92
  4 30.7108 964.931 3646.59
  5 40.7108 1536.63 3230.13
  6 50.7108 1831.46 2738.69
  7 60.7108 1826.94 2728.11
  8 70.7108 1888.61 2935.19
  9 80.7108 2051.58 3023.42
  10 90.7108 2120.06 2931.86
  11 100.711 2093.33 2804.72
  12 110.711 2101.71 2776.02
  13 120.711 2152.23 2839.71
  14 130.711 2122.83 2700.55
  15 140.711 2093.3 2617.9
  16 150.711 2093.67 2638.08
  17 160.711 2137.59 2694.72
  18 170.711 2094.82 2627.86
  19 180.711 2126.36 2588.57
  20 190.711 2104.49 2585.84
  21 200.711 2153.96 2542.29
  22 210.711 2227.82 2538.75
  23 220.711 2241.74 2480
  24 230.711 2171.77 2417.74
  25 240.711 2162.89 2412.22
  26 250.711 2219.93 2383.83
  27 260.711 2236.79 2386.83
  28 270.711 2249.68 2339.34
  29 280.711 2205.66 2363.59
  30 290.711 2119.93 2393.86
  31 300.711 2104.1 2375.03
  32 310.711 2209.94 2421.49
  33 320.711 2255.82 2397.06
  34 330.711 2117.08 2378.49
  35 340.711 2115.59 2463.24
  36 350.711 2077.03 2477.27
  37 360.711 2050.62 2687.86
  38 370.711 1980.57 2816.79
  39 380.711 2027.48 3066.14
  40 390.711 2070.44 3087.62
  41 400.711 2009.39 3115.61
  42 410.711 1925.04 3142.97
  43 420.711 1796.16 3155.54
  44 430.711 1802.59 3352.06
  45 440.711 1626.41 3356.18
  46 450.711 1587.94 3577.28
  47 460.711 1494.36 3702.29
  48 470.711 1179.4 4249.23
  49 480.711 857.777 4599.7
  50 490.711 885.715 5284.35
  51 500.711 465.653 7337.01
