# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 94314
  1 0.71415 944 222.331
  2 10.7142 1888 246.195
  3 20.7142 1888 251.199
  4 30.7142 1888 249.784
  5 40.7142 1888 247.532
  6 50.7142 1888 241.786
  7 60.7142 1888 239.125
  8 70.7142 1888 235.098
  9 80.7142 1888 233.574
  10 90.7142 1888.02 226.832
  11 100.714 1888.18 217.097
  12 110.714 1888.39 203.925
  13 120.714 1888.81 193.59
  14 130.714 1889.21 187.619
  15 140.714 1890.11 185.482
  16 150.714 1893.69 184.8
  17 160.714 1902.38 186.465
  18 170.714 1920.07 194.695
  19 180.714 1936.53 213.619
  20 190.714 1925.35 223.042
  21 200.714 1906.15 221.726
  22 210.714 1896.5 230.206
  23 220.714 1894.92 220.654
  24 230.714 1891.48 202.325
  25 240.714 1904.42 173.509
  26 250.714 1874.94 164.32
  27 260.714 1881.52 163.983
  28 270.714 1880.42 176.172
  29 280.714 1886.18 177.057
  30 290.714 1889.25 178.708
  31 300.714 1887.56 151.204
  32 310.714 1885.71 136.587
  33 320.714 1884.77 127.58
  34 330.714 1885.16 120.538
  35 340.714 1885.52 116.75
  36 350.714 1884.86 113.277
  37 360.714 1885.51 110.404
  38 370.714 1887.08 106.123
  39 380.714 1887.62 101.655
  40 390.714 1887.74 96.9946
  41 400.714 1887.93 84.1073
  42 410.714 1888 72.2875
  43 420.714 1888 64.8202
  44 430.714 1888 59.9301
  45 440.714 1888 56.058
  46 450.714 1888 53.2738
  47 460.714 1888 51.3221
  48 470.714 1888 49.9256
  49 480.714 1888 49.14
  50 490.714 1888 49.5238
  51 500.714 708 55.319
30000 51 94314
  1 0.71415 921.68 3444.11
  2 10.7142 1648.84 2728.45
  3 20.7142 1730.47 2392.29
  4 30.7142 1856.61 2378.32
  5 40.7142 1875.66 2234.38
  6 50.7142 1934.81 2166.61
  7 60.7142 1884.37 1911.63
  8 70.7142 1874.91 1851.28
  9 80.7142 1882.33 1808.9
  10 90.7142 1915.97 1905.67
  11 100.714 1885.73 1808.96
  12 110.714 1855.17 1647.63
  13 120.714 1862.32 1537.15
  14 130.714 1885.15 1527.24
  15 140.714 1923.43 1545.68
  16 150.714 1947.45 1541.63
  17 160.714 1921.6 1421.22
  18 170.714 1919.27 1341.7
  19 180.714 1888.81 1145.28
  20 190.714 1906.08 1122.09
  21 200.714 1965.6 1046.72
  22 210.714 1998.47 981.056
  23 220.714 2002.33 1041.52
  24 230.714 2033.02 989.13
  25 240.714 1949.52 935.173
  26 250.714 1915.31 888.661
  27 260.714 1936.15 885.094
  28 270.714 1952.63 975.896
  29 280.714 1908.4 1002.82
  30 290.714 1897.58 1102.65
  31 300.714 1899.29 1154.13
  32 310.714 1897.43 1266.53
  33 320.714 1958.58 1424.23
  34 330.714 1919.98 1294.59
  35 340.714 1921.31 1364.72
  36 350.714 1950.22 1607.98
  37 360.714 1904.71 1614.61
  38 370.714 1895.18 1663.07
  39 380.714 1859.82 1443.46
  40 390.714 1865.17 1507.76
  41 400.714 1892.09 1616.44
  42 410.714 1879.09 1588.1
  43 420.714 1878.97 1586.89
  44 430.714 1930.73 1777.88
  45 440.714 1895.87 1814.18
  46 450.714 1861.88 1887.73
  47 460.714 1864.19 1966.05
  48 470.714 1818.47 1997.99
  49 480.714 1770.21 2229.08
  50 490.714 1678.11 2485.47
  51 500.714 693.038 3334.45
40000 51 94314
  1 0.71415 852.998 5357
  2 10.7142 1148.4 3914.35
  3 20.7142 1303.14 3263.61
