# Chunk-averaged data for fix fchT and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000 51 94274
  1 0.708014 944 227.366
  2 10.708 1888 250.684
  3 20.708 1886.6 253.132
  4 30.708 1886.21 254.877
  5 40.708 1888.9 250.771
  6 50.708 1889.51 249.942
  7 60.708 1889.82 246.099
  8 70.708 1890.16 247.606
  9 80.708 1889.22 245.737
  10 90.708 1889.25 248.985
  11 100.708 1889.01 251.594
  12 110.708 1888.42 257.313
  13 120.708 1889.35 278.328
  14 130.708 1890.89 304.621
  15 140.708 1895.15 312.543
  16 150.708 1903.62 353.036
  17 160.708 1910.51 380.263
  18 170.708 1912.13 386.807
  19 180.708 1898.56 327.779
  20 190.708 1898.82 354.845
  21 200.708 1891.08 338.561
  22 210.708 1898.01 322.673
  23 220.708 1895.55 300.328
  24 230.708 1908.32 246.847
  25 240.708 1895.63 231.054
  26 250.708 1886.75 223.836
  27 260.708 1897.72 225.186
  28 270.708 1898.1 248.245
  29 280.708 1887.57 285.931
  30 290.708 1880.39 311.745
  31 300.708 1883.3 318.105
  32 310.708 1883.1 316.644
  33 320.708 1885.64 314.63
  34 330.708 1883.95 270.166
  35 340.708 1889.62 295.803
  36 350.708 1887.75 267.751
  37 360.708 1884.02 225.244
  38 370.708 1886.26 189.908
  39 380.708 1886.97 150.652
  40 390.708 1885.15 120.966
  41 400.708 1883.62 98.5276
  42 410.708 1883.76 82.9162
  43 420.708 1885.67 73.6811
  44 430.708 1886.75 66.8597
  45 440.708 1886.66 61.8857
  46 450.708 1886.69 58.5233
  47 460.708 1886.48 56.0041
  48 470.708 1885.42 54.2343
  49 480.708 1883.2 53.2006
  50 490.708 1884.72 53.366
  51 500.708 708 59.3016
30000 51 94274
  1 0.708014 972.731 4181.8
  2 10.708 1630.49 3171.5
  3 20.708 1780.86 2760.33
  4 30.708 1826.75 2443.1
  5 40.708 1890.16 2445.45
  6 50.708 1941.89 2457.08
  7 60.708 1911.74 2319.42
  8 70.708 1912.51 2207.95
  9 80.708 1892.75 1997.32
  10 90.708 1886.51 1846.39
  11 100.708 1886.17 1713.43
  12 110.708 1842.13 1521.28
  13 120.708 1892.78 1626.45
  14 130.708 1913.07 1692.53
  15 140.708 1875.66 1394.85
  16 150.708 1857.58 1237.95
  17 160.708 1937.21 1386.5
  18 170.708 1956.1 1271.07
  19 180.708 1955.08 1102.48
  20 190.708 1883.94 883.103
  21 200.708 1886.94 858.588
  22 210.708 1941.66 924.704
  23 220.708 1950.76 981.504
  24 230.708 1937.21 851.501
  25 240.708 1955.4 863.106
  26 250.708 2005.6 930.445
  27 260.708 1994.56 863.578
  28 270.708 1935.87 881.415
  29 280.708 1934.6 949.835
  30 290.708 1877.8 852.954
  31 300.708 1906.1 929.016
  32 310.708 1930.06 1102.26
  33 320.708 1919.31 1098.52
  34 330.708 1935.15 1091.86
  35 340.708 1976.74 1337.62
  36 350.708 1937.12 1431.77
  37 360.708 1810.25 1323.42
  38 370.708 1798.7 1413.76
  39 380.708 1841.4 1633.45
  40 390.708 1838.97 1702.95
  41 400.708 1910.73 1938.26
  42 410.708 1963.62 1935.73
  43 420.708 1945.07 1873.93
  44 430.708 1844.88 1858.99
  45 440.708 1855.96 1848.07
  46 450.708 1864.99 1892.09
  47 460.708 1826.41 1852.09
  48 470.708 1818.03 1858.26
  49 480.708 1845.33 2198.19
  50 490.708 1741.71 2646.49
  51 500.708 696.957 3344.58
40000 51 94274
  1 0.708014 902.667 4913.21
  2 10.708 1349.57 3787.09
  3 20.708 1417.95 2864.8
  4 30.708 1687.4 2805.43
  5 40.708 1724.9 2764.1
  6 50.708 1858.19 2681.95
  7 60.708 1971.6 2521
  8 70.708 1888.21 2257.3
  9 80.708 1919.1 2114.99
  10 90.708 1916.14 1880.96
  11 100.708 1960.08 1896.05
  12 110.708 1961.33 1828.69
  13 120.708 1899.77 1712.27
  14 130.708 1911.06 1736.42
  15 140.708 1988.67 1667.13
  16 150.708 1967.84 1540
  17 160.708 1954.85 1488.84
  18 170.708 1959.47 1415.67
  19 180.708 1974.67 1340.07
  20 190.708 1974.85 1285.05
  21 200.708 1975.73 1260.1
  22 210.708 1969.73 1245.87
  23 220.708 1958.31 1301.72
  24 230.708 1926.41 1239.24
  25 240.708 1944.4 1239.49
  26 250.708 1966.26 1234.32
  27 260.708 2016.46 1343.53
  28 270.708 2041.67 1440.83
  29 280.708 2024.51 1339.53
  30 290.708 2011.76 1309.72
  31 300.708 2012.36 1369.62
  32 310.708 1970.37 1358.46
  33 320.708 1992.76 1366.09
  34 330.708 1977.58 1497.56
  35 340.708 1981.12 1542.59
  36 350.708 1961.45 1514.28
  37 360.708 1827.77 1503.5
  38 370.708 1854.17 1679.9
  39 380.708 1861.1 1823.51
  40 390.708 1903.86 2094.18
  41 400.708 1875.3 2187.22
  42 410.708 1897.52 2331.16
  43 420.708 2018.69 2601.43
  44 430.708 1899.06 2659.47
  45 440.708 1872.14 2750.91
  46 450.708 1815.91 2912.27
  47 460.708 1705.75 2988.75
  48 470.708 1638.48 3059.74
  49 480.708 1654.89 3396.85
  50 490.708 1707.66 3949.25
  51 500.708 822.506 5112.51
50000 51 94274
  1 0.708014 889.042 4408.24
  2 10.708 1279.09 3652.29
  3 20.708 1427.83 3017.07
  4 30.708 1731.18 2969
  5 40.708 1723.36 2685.7
  6 50.708 1827.64 2521
  7 60.708 1861.16 2459.69
  8 70.708 1822.28 2248.72
  9 80.708 1874.61 2056.15
  10 90.708 1926.1 2018.81
  11 100.708 1880.89 1959.83
  12 110.708 1914.44 1862.86
  13 120.708 1927.94 1820.01
  14 130.708 1960.44 1866.56
  15 140.708 2062.6 1833.05
  16 150.708 2055.73 1769.69
  17 160.708 1978.28 1724.84
  18 170.708 2048.86 1771.87
  19 180.708 2068.74 1727.62
  20 190.708 2006.98 1627.44
  21 200.708 1988.73 1553.43
  22 210.708 1964.62 1511.26
  23 220.708 1921.19 1499.18
  24 230.708 1924.38 1490.87
  25 240.708 1945.04 1520.38
  26 250.708 1929.72 1472.44
  27 260.708 1965.74 1491.09
  28 270.708 2017.11 1585.72
  29 280.708 2038.56 1568.51
  30 290.708 2028.3 1508.8
  31 300.708 1980.81 1505.51
  32 310.708 1962.71 1493.12
  33 320.708 2017.53 1553.24
  34 330.708 2065.88 1693.85
  35 340.708 1993.6 1662.21
  36 350.708 1956.56 1794.03
  37 360.708 1885.36 1882.81
  38 370.708 1981.3 2021.17
  39 380.708 1913.56 2109.73
  40 390.708 1906.63 2175.38
  41 400.708 1929.09 2276.42
  42 410.708 1887.3 2376.99
  43 420.708 1998.5 2436.96
  44 430.708 1857.72 2502.55
  45 440.708 1739.28 2560.42
  46 450.708 1707.04 2637.29
  47 460.708 1659.17 2676.55
  48 470.708 1611.55 2941.97
  49 480.708 1667.02 3202.28
  50 490.708 1720.7 3768.58
  51 500.708 842.148 4870.99
